Plugin,Gutenberg-Compatible,Compatibility Reason,Active Installs
wordpress-seo,no,Meta box doesn't work as expected,5000000
akismet,yes,Doesn't include editor functionality,5000000
contact-form-7,yes,Doesn't include editor functionality,5000000
wordpress-importer,likely_yes,Doesn't include editor functionality,4000000
jetpack,no,Some editor UI is missing,4000000
all-in-one-seo-pack,no,Meta box doesn't work as expected,3000000
woocommerce,no,"Meta box doesn't work as expected, Some editor UI is missing",3000000
wp-super-cache,likely_yes,Doesn't include editor functionality,2000000
duplicate-post,yes,Doesn't include editor functionality,2000000
google-sitemap-generator,yes,Doesn't include editor functionality,2000000
limit-login-attempts,yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",2000000
tinymce-advanced,yes,Existing functionality works in Gutenberg,2000000
wordfence,yes,Doesn't include editor functionality,2000000
siteorigin-panels,likely_no,Some editor UI is missing,1000000
all-in-one-wp-migration,likely_yes,Doesn't include editor functionality,1000000
duplicator,likely_yes,Doesn't include editor functionality,1000000
google-analytics-dashboard-for-wp,likely_yes,Doesn't include editor functionality,1000000
google-analytics-for-wordpress,likely_yes,Doesn't include editor functionality,1000000
mailchimp-for-wp,likely_yes,Doesn't include editor functionality,1000000
really-simple-captcha,likely_yes,Doesn't include editor functionality,1000000
updraftplus,likely_yes,Doesn't include editor functionality,1000000
w3-total-cache,likely_yes,Doesn't include editor functionality,1000000
wp-smushit,likely_yes,Doesn't include editor functionality,1000000
hello-dolly,no,Some editor UI is missing,1000000
nextgen-gallery,no,Some editor UI is missing,1000000
advanced-custom-fields,yes,Existing functionality works in Gutenberg,1000000
disable-comments,yes,Existing functionality works in Gutenberg,1000000
ninja-forms,yes,,1000000
regenerate-thumbnails,yes,Doesn't include editor functionality,1000000
so-widgets-bundle,yes,Doesn't include editor functionality,1000000
black-studio-tinymce-widget,likely_yes,Doesn't include editor functionality,900000
ml-slider,likely_yes,Some editor UI is missing,900000
wpforms-lite,no,Some editor UI is missing,900000
better-wp-security,yes,Doesn't include editor functionality,900000
redirection,yes,Doesn't include editor functionality,900000
wp-multibyte-patch,yes,Doesn't include editor functionality,900000
wp-pagenavi,yes,Doesn't include editor functionality,900000
wp-mail-smtp,likely_yes,Doesn't include editor functionality,800000
shortcodes-ultimate,likely_no,Meta box doesn't work as expected,700000
really-simple-ssl,likely_yes,Doesn't include editor functionality,700000
wp-optimize,likely_yes,Doesn't include editor functionality,700000
breadcrumb-navxt,yes,,700000
backwpup,likely_yes,Doesn't include editor functionality,600000
coming-soon,likely_yes,Doesn't include editor functionality,600000
googleanalytics,likely_yes,Doesn't include editor functionality,600000
loginizer,likely_yes,Doesn't include editor functionality,600000
tablepress,likely_yes,Some editor UI is missing,600000
worker,likely_yes,Doesn't include editor functionality,600000
the-events-calendar,no,Doesn't include editor functionality,600000
all-in-one-wp-security-and-firewall,yes,Doesn't include editor functionality,600000
ewww-image-optimizer,yes,Doesn't include editor functionality,600000
force-regenerate-thumbnails,yes,Doesn't include editor functionality,600000
loco-translate,yes,Doesn't include editor functionality,600000
optinmonster,yes,Existing functionality works in Gutenberg,600000
broken-link-checker,likely_yes,Doesn't include editor functionality,500000
contact-widgets,likely_yes,Some editor UI is missing,500000
elementor,likely_yes,Some editor UI is missing,500000
instagram-feed,likely_yes,,500000
wp-fastest-cache,likely_yes,Doesn't include editor functionality,500000
wp-maintenance-mode,likely_yes,Doesn't include editor functionality,500000
yith-woocommerce-wishlist,likely_yes,Doesn't include editor functionality,500000
add-to-any,yes,Existing functionality works in Gutenberg,500000
autoptimize,yes,Doesn't include editor functionality,500000
cookie-notice,yes,Doesn't include editor functionality,500000
custom-post-type-ui,yes,Existing functionality works in Gutenberg,500000
redux-framework,yes,Doesn't include editor functionality,500000
duplicate-page,likely_yes,Some editor UI is missing,400000
image-widget,likely_yes,Doesn't include editor functionality,400000
insert-headers-and-footers,likely_yes,Existing functionality works in Gutenberg,400000
iwp-client,likely_yes,Doesn't include editor functionality,400000
maintenance,likely_yes,Doesn't include editor functionality,400000
woocommerce-gateway-paypal-express-checkout,likely_yes,Doesn't include editor functionality,400000
wp-statistics,likely_yes,Doesn't include editor functionality,400000
beaver-builder-lite-version,no,Some editor UI is missing,400000
post-types-order,yes,Doesn't include editor functionality,400000
user-role-editor,yes,Doesn't include editor functionality,400000
wp-google-maps,yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",400000
easy-fancybox,likely_no,Some editor UI is missing,300000
photo-gallery,likely_no,Some editor UI is missing,300000
bbpress,likely_yes,Doesn't include editor functionality,300000
better-search-replace,likely_yes,Doesn't include editor functionality,300000
easy-google-fonts,likely_yes,Existing functionality works in Gutenberg,300000
flamingo,likely_yes,Doesn't include editor functionality,300000
google-analyticator,likely_yes,Doesn't include editor functionality,300000
mainwp-child,likely_yes,Doesn't include editor functionality,300000
meta-box,likely_yes,Existing functionality works in Gutenberg,300000
sg-cachepress,likely_yes,Doesn't include editor functionality,300000
widget-importer-exporter,likely_yes,Doesn't include editor functionality,300000
woocommerce-gateway-stripe,likely_yes,Doesn't include editor functionality,300000
wordpress-popular-posts,likely_yes,Doesn't include editor functionality,300000
wp-clone-by-wp-academy,likely_yes,Doesn't include editor functionality,300000
wp-db-backup,likely_yes,Doesn't include editor functionality,300000
wysija-newsletters,no,Some editor UI is missing,300000
antispam-bee,yes,Doesn't include editor functionality,300000
polylang,yes,Existing functionality works in Gutenberg,300000
simple-301-redirects,yes,Doesn't include editor functionality,300000
simple-custom-css,yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",300000
sucuri-scanner,yes,Doesn't include editor functionality,300000
taxonomy-terms-order,yes,Existing functionality works in Gutenberg,300000
velvet-blues-update-urls,yes,Doesn't include editor functionality,300000
widget-logic,yes,Doesn't include editor functionality,300000
woosidebars,yes,Doesn't include editor functionality,300000
formidable,likely_no,Meta box doesn't work as expected,200000
popup-maker,likely_no,Some editor UI is missing,200000
addthis,likely_yes,Existing functionality works in Gutenberg,200000
adminimize,likely_yes,Doesn't include editor functionality,200000
backupwordpress,likely_yes,Doesn't include editor functionality,200000
custom-facebook-feed,likely_yes,Doesn't include editor functionality,200000
disqus-comment-system,likely_yes,Existing functionality works in Gutenberg,200000
easy-wp-smtp,likely_yes,Doesn't include editor functionality,200000
genesis-simple-edits,likely_yes,Some editor UI is missing,200000
gotmls,likely_yes,Existing functionality works in Gutenberg,200000
litespeed-cache,likely_yes,Doesn't include editor functionality,200000
login-lockdown,likely_yes,Doesn't include editor functionality,200000
php-code-widget,likely_yes,Doesn't include editor functionality,200000
pirate-forms,likely_yes,Existing functionality works in Gutenberg,200000
pretty-link,likely_yes,Some editor UI is missing,200000
recent-tweets-widget,likely_yes,Existing functionality works in Gutenberg,200000
social-networks-auto-poster-facebook-twitter-g,likely_yes,,200000
types,likely_yes,Existing functionality works in Gutenberg,200000
woocommerce-services,likely_yes,Doesn't include editor functionality,200000
wp-migrate-db,likely_yes,Doesn't include editor functionality,200000
wps-hide-login,likely_yes,Doesn't include editor functionality,200000
wptouch,likely_yes,Doesn't include editor functionality,200000
